population_density,income_stratum,fuel_expenditure_sol,edu_level_head,household_size_avg,nse_ab_pct,nse_de_pct,waste_per_capita_kg,pct_recyclable,pct_plastic,informal_recyclers_count,slope_pct,urbanized_area_pct,dist_nearest_recycling_m,recycling_density_1km,recycling_potential_index,road_density,dist_nearest_road_m,dist_to_market_m,has_park_300m,is_optimal,latitude,longitude,centroid_lat,centroid_lon,urbanization_rate,Distrito,num_households,nse_c_pct,walkability_score,poi_commercial_500m,poi_educational_500m,land_use_encoded,area_m2,district_id,poi_parks_500m,recycling_deficit,coverage_gap_index,accessibility_composite,nse_high_ratio
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1836.837577371359,0,1971.7152,0.035,150.0,400.0,1,0,-12.1252538357488,-77.00462921702248,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,596.1433216345388,0,2549.184,0.035,150.0,400.0,1,0,-12.096863749372464,-77.07625034532752,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,1,1.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1043.9558538902304,0,1971.7152,0.035,150.0,400.0,1,0,-12.108405256383987,-77.04046388853024,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1507.6876319909022,0,1971.7152,0.035,150.0,400.0,1,0,-12.12842037744486,-77.00799896092101,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1079.3118471036048,0,1971.7152,0.035,150.0,400.0,1,0,-12.119802407520703,-77.03095737476168,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,991.3024991132644,0,1971.7152,0.035,150.0,400.0,1,0,-12.108369793436577,-77.04926942905772,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1096.697498876807,0,1971.7152,0.035,150.0,400.0,1,0,-12.128451687395732,-77.01266967682173,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1125.137577285801,0,1971.7152,0.035,150.0,400.0,1,0,-12.11096335050404,-77.03529079328784,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1848.9864186904224,0,1971.7152,0.035,150.0,400.0,1,0,-12.116993577443877,-77.00977087063391,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,914.0765401692043,0,1971.7152,0.035,150.0,400.0,1,0,-12.115249940360696,-77.03551533478388,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,626.5373287340298,0,2549.184,0.035,150.0,400.0,1,0,-12.085234749177909,-77.06858315869663,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,1,1.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,529.0081085511323,0,1971.7152,0.035,150.0,400.0,1,0,-12.124388366547056,-77.0218069341068,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1702.8327550525005,0,1971.7152,0.035,150.0,400.0,1,0,-12.120352329609664,-77.00862582578887,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1178.174207621474,0,1971.7152,0.035,150.0,400.0,1,0,-12.12694848049562,-77.03840119913025,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1446.438146822678,0,1971.7152,0.035,150.0,400.0,1,0,-12.120137772072624,-77.01237886414852,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,458.2491187412194,1,1971.7152,0.035,150.0,400.0,1,0,-12.124354822988373,-77.02639926037745,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,0,0.0,0.6799999999999999,71.0
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.0,95.0,564.1676134484336,0,2549.184,0.035,150.0,400.0,1,0,-12.09690311384833,-77.07211261786162,,,0.95,Magdalena del Mar,22000,36.0,0.75,6,2,1,500,2,1.0,1,1.0,0.6499999999999999,56.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1183.0375971063602,0,1971.7152,0.035,150.0,400.0,1,0,-12.124455225716066,-77.0126222406546,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,951.0235653161026,0,1971.7152,0.035,150.0,400.0,1,0,-12.119768724926882,-77.03554959644893,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,641.8911889249913,0,1971.7152,0.035,150.0,400.0,1,0,-12.131228963904531,-77.01859084182661,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,575.1672481837678,0,1971.7152,0.035,150.0,400.0,1,0,-12.1117287763341,-77.04464763802274,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.0,95.0,1757.9641928990368,0,1971.7152,0.035,150.0,400.0,1,0,-12.1063372952452,-77.03075648379081,,,0.95,Miraflores,28000,25.0,0.8,8,3,1,600,1,1.0,1,1.0,0.6799999999999999,71.0
